,GENERO,GLOBAL_VENTAS
0,Action,0.5281001206272617
1,Adventure,0.18587869362363918
2,Fighting,0.529375
3,Misc,0.4657619321449109
4,Platform,0.9383408577878104
5,Puzzle,0.4208762886597938
6,Racing,0.5861008807045637
7,Role-Playing,0.6232325268817205
8,Shooter,0.791885496183206
9,Simulation,0.4523644752018454
10,Sports,0.5673188405797102
11,Strategy,0.25715124816446405
