,NOMBRE,GLOBAL_VENTAS
1631,Coronation Street: The Mystery of the Missing Hotpot Recipe,0.01
2971,FairlyLife: MiracleDays,0.01
8298,San-X: Chara Sagashi Land,0.01
7086,Paragon,0.01
5069,Kurogane Kaikitan,0.01
8300,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,0.01
7087,Paranormal Pursuit: The Gifted One,0.01
4804,Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,0.01
1723,Crossroad Crisis,0.01
8680,Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,0.01
