,AÑO,GLOBAL_VENTAS
0,1980.0,1.2644444444444443
1,1981.0,0.7776086956521739
2,1982.0,0.8016666666666666
3,1983.0,0.9876470588235293
4,1984.0,3.597142857142857
5,1985.0,3.852857142857143
6,1986.0,1.7652380952380953
7,1987.0,1.35875
8,1988.0,3.148
9,1989.0,4.320588235294117
10,1990.0,3.086875
11,1991.0,0.7860975609756097
12,1992.0,1.7711627906976743
13,1993.0,0.7663333333333334
14,1994.0,0.654297520661157
15,1995.0,0.4023287671232877
16,1996.0,0.7572243346007604
17,1997.0,0.695432525951557
18,1998.0,0.6767018469656992
19,1999.0,0.7434023668639054
20,2000.0,0.5775358166189112
21,2001.0,0.6876970954356847
22,2002.0,0.4771049457177322
23,2003.0,0.461741935483871
24,2004.0,0.5495543905635649
25,2005.0,0.4887778958554729
26,2006.0,0.5169047619047619
27,2007.0,0.5084276206322795
28,2008.0,0.47542016806722687
29,2009.0,0.4663172606568833
30,2010.0,0.4769261318506752
31,2011.0,0.45302019315188763
32,2012.0,0.5533333333333333
33,2013.0,0.6741941391941392
34,2014.0,0.5791237113402062
35,2015.0,0.4306840390879479
36,2016.0,0.20619186046511626
37,2017.0,0.016666666666666666
38,2020.0,0.29
